# FLASH Placa 3 duplicados
FLASH
# E (MeV), I (nA), t_rendija (ms), numSpots
3.00, 1.00, 0.750, 60
# X (cm), Y (cm), Z (cm), #shots
-1.22, -2.38, -6.00, 4
-1.22, -3.01, -6.00, 4
-0.58, -3.01, -6.00, 4
-0.58, -2.38, -6.00, 4
-1.22, -5.98, -6.00, 4
-1.22, -6.61, -6.00, 4
-0.58, -6.61, -6.00, 4
-0.58, -5.98, -6.00, 4
-3.01, -0.58, -6.00, 8
-3.01, -1.22, -6.00, 8
-2.38, -1.22, -6.00, 8
-2.38, -0.58, -6.00, 8
-3.01, -2.38, -6.00, 16
-3.01, -3.01, -6.00, 16
-2.38, -3.01, -6.00, 16
-2.38, -2.38, -6.00, 16
-3.01, -4.18, -6.00, 8
-3.01, -4.81, -6.00, 8
-2.38, -4.81, -6.00, 8
-2.38, -4.18, -6.00, 8
-3.01, -5.98, -6.00, 16
-3.01, -6.61, -6.00, 16
-2.38, -6.61, -6.00, 16
-2.38, -5.98, -6.00, 16
-4.81, -0.58, -6.00, 32
-4.81, -1.22, -6.00, 32
-4.18, -1.22, -6.00, 32
-4.18, -0.58, -6.00, 32
-4.81, -2.38, -6.00, 48
-4.81, -3.01, -6.00, 48
-4.18, -3.01, -6.00, 48
-4.18, -2.38, -6.00, 48
-4.81, -4.18, -6.00, 32
-4.81, -4.81, -6.00, 32
-4.18, -4.81, -6.00, 32
-4.18, -4.18, -6.00, 32
-4.81, -5.98, -6.00, 48
-4.81, -6.61, -6.00, 48
-4.18, -6.61, -6.00, 48
-4.18, -5.98, -6.00, 48
-6.61, -2.38, -6.00, 4
-6.61, -3.01, -6.00, 4
-5.98, -3.01, -6.00, 4
-5.98, -2.38, -6.00, 4
-8.41, -0.58, -6.00, 8
-8.41, -1.22, -6.00, 8
-7.77, -1.22, -6.00, 8
-7.77, -0.58, -6.00, 8
-8.41, -2.38, -6.00, 16
-8.41, -3.01, -6.00, 16
-7.77, -3.01, -6.00, 16
-7.77, -2.38, -6.00, 16
-10.21, -0.58, -6.00, 32
-10.21, -1.22, -6.00, 32
-9.57, -1.22, -6.00, 32
-9.57, -0.58, -6.00, 32
-10.21, -2.38, -6.00, 48
-10.21, -3.01, -6.00, 48
-9.57, -3.01, -6.00, 48
-9.57, -2.38, -6.00, 48
