# FLASH Cubeta
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 2.10, PP100, 28
# X (cm), Y (cm), Z (cm), t(s)
-0.24, 1.37, -6.00, 2.174
-0.24, 0.88, -6.00, 2.174
0.24, 0.88, -6.00, 2.174
0.24, 1.37, -6.00, 2.174
-0.24, 2.49, -6.00, 6.521
-0.24, 2.01, -6.00, 6.521
0.24, 2.01, -6.00, 6.521
0.24, 2.49, -6.00, 6.521
-0.24, 3.62, -6.00, 10.869
-0.24, 3.13, -6.00, 10.869
0.24, 3.13, -6.00, 10.869
0.24, 3.62, -6.00, 10.869
-1.37, 0.24, -6.00, 1.087
-1.37, -0.24, -6.00, 1.087
-0.88, -0.24, -6.00, 1.087
-0.88, 0.24, -6.00, 1.087
-1.37, 1.37, -6.00, 4.347
-1.37, 0.88, -6.00, 4.347
-0.88, 0.88, -6.00, 4.347
-0.88, 1.37, -6.00, 4.347
-1.37, 2.49, -6.00, 8.695
-1.37, 2.01, -6.00, 8.695
-0.88, 2.01, -6.00, 8.695
-0.88, 2.49, -6.00, 8.695
-1.37, 3.62, -6.00, 13.042
-1.37, 3.13, -6.00, 13.042
-0.88, 3.13, -6.00, 13.042
-0.88, 3.62, -6.00, 13.042
