# CONV Placa
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 0.076, PP2capas, 20
# X (cm), Y (cm), Z (cm), t(s)
-1.20, -2.40, -5.40, 0.875
-1.20, -3.00, -5.40, 0.875
-0.60, -3.00, -5.40, 0.875
-0.60, -2.40, -5.40, 0.875
-3.00, -0.60, -5.40, 1.751
-3.00, -1.20, -5.40, 1.751
-2.40, -1.20, -5.40, 1.751
-2.40, -0.60, -5.40, 1.751
-3.00, -2.40, -5.40, 3.502
-3.00, -3.00, -5.40, 3.502
-2.40, -3.00, -5.40, 3.502
-2.40, -2.40, -5.40, 3.502
-4.80, -0.60, -5.40, 7.003
-4.80, -1.20, -5.40, 7.003
-4.19, -1.20, -5.40, 7.003
-4.19, -0.60, -5.40, 7.003
-4.80, -2.40, -5.40, 10.505
-4.80, -3.00, -5.40, 10.505
-4.19, -3.00, -5.40, 10.505
-4.19, -2.40, -5.40, 10.505
