# CONV Placa
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 2.10, PP100, 20
# X (cm), Y (cm), Z (cm), t(s)
-1.14, 2.94, -5.90, 1.087
-1.14, 2.45, -5.90, 1.087
-0.65, 2.45, -5.90, 1.087
-0.65, 2.94, -5.90, 1.087
-2.94, 1.14, -5.90, 2.174
-2.94, 0.65, -5.90, 2.174
-2.45, 0.65, -5.90, 2.174
-2.45, 1.14, -5.90, 2.174
-2.94, 2.94, -5.90, 4.347
-2.94, 2.45, -5.90, 4.347
-2.45, 2.45, -5.90, 4.347
-2.45, 2.94, -5.90, 4.347
-4.74, 1.14, -5.90, 8.695
-4.74, 0.65, -5.90, 8.695
-4.25, 0.65, -5.90, 8.695
-4.25, 1.14, -5.90, 8.695
-4.74, 2.94, -5.90, 13.042
-4.74, 2.45, -5.90, 13.042
-4.25, 2.45, -5.90, 13.042
-4.25, 2.94, -5.90, 13.042
