# CONV Placa
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 0.10, PP2capas, 20
# X (cm), Y (cm), Z (cm), t(s)
-1.22, -2.38, -5.60, 0.741
-1.22, -3.01, -5.60, 0.741
-0.58, -3.01, -5.60, 0.741
-0.58, -2.38, -5.60, 0.741
-3.01, -0.58, -5.60, 1.483
-3.01, -1.22, -5.60, 1.483
-2.38, -1.22, -5.60, 1.483
-2.38, -0.58, -5.60, 1.483
-3.01, -2.38, -5.60, 2.966
-3.01, -3.01, -5.60, 2.966
-2.38, -3.01, -5.60, 2.966
-2.38, -2.38, -5.60, 2.966
-4.81, -0.58, -5.60, 5.931
-4.81, -1.22, -5.60, 5.931
-4.18, -1.22, -5.60, 5.931
-4.18, -0.58, -5.60, 5.931
-4.81, -2.38, -5.60, 8.897
-4.81, -3.01, -5.60, 8.897
-4.18, -3.01, -5.60, 8.897
-4.18, -2.38, -5.60, 8.897
