# CONV Placa
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 0.08, PP2capas, 20
# X (cm), Y (cm), Z (cm), t(s)
-1.24, -2.36, -5.20, 1.016
-1.24, -3.04, -5.20, 1.016
-0.56, -3.04, -5.20, 1.016
-0.56, -2.36, -5.20, 1.016
-3.04, -0.56, -5.20, 2.031
-3.04, -1.24, -5.20, 2.031
-2.36, -1.24, -5.20, 2.031
-2.36, -0.56, -5.20, 2.031
-3.04, -2.36, -5.20, 4.063
-3.04, -3.04, -5.20, 4.063
-2.36, -3.04, -5.20, 4.063
-2.36, -2.36, -5.20, 4.063
-4.83, -0.56, -5.20, 8.125
-4.83, -1.24, -5.20, 8.125
-4.16, -1.24, -5.20, 8.125
-4.16, -0.56, -5.20, 8.125
-4.83, -2.36, -5.20, 12.188
-4.83, -3.04, -5.20, 12.188
-4.16, -3.04, -5.20, 12.188
-4.16, -2.36, -5.20, 12.188
