# FLASH Cubeta
FLASH
# E (MeV), I (nA), t_rendija (ms), numSpots
3.00, 2.04, 0.750, 28
# X (cm), Y (cm), Z (cm), #shots
-0.24, 1.37, -7.00, 2
-0.24, 0.88, -7.00, 2
0.24, 0.88, -7.00, 2
0.24, 1.37, -7.00, 2
-0.24, 2.49, -7.00, 6
-0.24, 2.01, -7.00, 6
0.24, 2.01, -7.00, 6
0.24, 2.49, -7.00, 6
-0.24, 3.62, -7.00, 10
-0.24, 3.13, -7.00, 10
0.24, 3.13, -7.00, 10
0.24, 3.62, -7.00, 10
-1.37, 0.24, -7.00, 1
-1.37, -0.24, -7.00, 1
-0.88, -0.24, -7.00, 1
-0.88, 0.24, -7.00, 1
-1.37, 1.37, -7.00, 4
-1.37, 0.88, -7.00, 4
-0.88, 0.88, -7.00, 4
-0.88, 1.37, -7.00, 4
-1.37, 2.49, -7.00, 8
-1.37, 2.01, -7.00, 8
-0.88, 2.01, -7.00, 8
-0.88, 2.49, -7.00, 8
-1.37, 3.62, -7.00, 12
-1.37, 3.13, -7.00, 12
-0.88, 3.13, -7.00, 12
-0.88, 3.62, -7.00, 12
