# FLASH Placa 3 duplicados
FLASH
# E (MeV), I (nA), t_rendija (ms), numSpots
3.00, 6.80, 0.450, 40
# X (cm), Y (cm), Z (cm), #shots
-1.23, -2.37, -5.40, 1
-1.23, -3.03, -5.40, 1
-0.57, -3.03, -5.40, 1
-0.57, -2.37, -5.40, 1
-3.03, -0.57, -5.40, 2
-3.03, -1.23, -5.40, 2
-2.37, -1.23, -5.40, 2
-2.37, -0.57, -5.40, 2
-3.03, -2.37, -5.40, 4
-3.03, -3.03, -5.40, 4
-2.37, -3.03, -5.40, 4
-2.37, -2.37, -5.40, 4
-4.83, -0.57, -5.40, 8
-4.83, -1.23, -5.40, 8
-4.16, -1.23, -5.40, 8
-4.16, -0.57, -5.40, 8
-4.83, -2.37, -5.40, 12
-4.83, -3.03, -5.40, 12
-4.16, -3.03, -5.40, 12
-4.16, -2.37, -5.40, 12
-6.62, -2.37, -5.40, 1
-6.62, -3.03, -5.40, 1
-5.96, -3.03, -5.40, 1
-5.96, -2.37, -5.40, 1
-8.42, -0.57, -5.40, 2
-8.42, -1.23, -5.40, 2
-7.76, -1.23, -5.40, 2
-7.76, -0.57, -5.40, 2
-8.42, -2.37, -5.40, 4
-8.42, -3.03, -5.40, 4
-7.76, -3.03, -5.40, 4
-7.76, -2.37, -5.40, 4
-10.22, -0.57, -5.40, 8
-10.22, -1.23, -5.40, 8
-9.56, -1.23, -5.40, 8
-9.56, -0.57, -5.40, 8
-10.22, -2.37, -5.40, 12
-10.22, -3.03, -5.40, 12
-9.56, -3.03, -5.40, 12
-9.56, -2.37, -5.40, 12
