# FLASH Cubeta 3 duplicados
FLASH
# E (MeV), I (nA), t_rendija (ms), numSpots
3.00, 2.04, 0.750, 60
# X (cm), Y (cm), Z (cm), #shots
-1.14, 2.94, -5.90, 1
-1.14, 2.45, -5.90, 1
-0.65, 2.45, -5.90, 1
-0.65, 2.94, -5.90, 1
-1.14, 6.54, -5.90, 1
-1.14, 6.05, -5.90, 1
-0.65, 6.05, -5.90, 1
-0.65, 6.54, -5.90, 1
-2.94, 1.14, -5.90, 2
-2.94, 0.65, -5.90, 2
-2.45, 0.65, -5.90, 2
-2.45, 1.14, -5.90, 2
-2.94, 2.94, -5.90, 4
-2.94, 2.45, -5.90, 4
-2.45, 2.45, -5.90, 4
-2.45, 2.94, -5.90, 4
-2.94, 4.74, -5.90, 2
-2.94, 4.25, -5.90, 2
-2.45, 4.25, -5.90, 2
-2.45, 4.74, -5.90, 2
-2.94, 6.54, -5.90, 4
-2.94, 6.05, -5.90, 4
-2.45, 6.05, -5.90, 4
-2.45, 6.54, -5.90, 4
-4.74, 1.14, -5.90, 8
-4.74, 0.65, -5.90, 8
-4.25, 0.65, -5.90, 8
-4.25, 1.14, -5.90, 8
-4.74, 2.94, -5.90, 12
-4.74, 2.45, -5.90, 12
-4.25, 2.45, -5.90, 12
-4.25, 2.94, -5.90, 12
-4.74, 4.74, -5.90, 8
-4.74, 4.25, -5.90, 8
-4.25, 4.25, -5.90, 8
-4.25, 4.74, -5.90, 8
-4.74, 6.54, -5.90, 12
-4.74, 6.05, -5.90, 12
-4.25, 6.05, -5.90, 12
-4.25, 6.54, -5.90, 12
-6.54, 2.94, -5.90, 1
-6.54, 2.45, -5.90, 1
-6.05, 2.45, -5.90, 1
-6.05, 2.94, -5.90, 1
-8.34, 1.14, -5.90, 2
-8.34, 0.65, -5.90, 2
-7.85, 0.65, -5.90, 2
-7.85, 1.14, -5.90, 2
-8.34, 2.94, -5.90, 4
-8.34, 2.45, -5.90, 4
-7.85, 2.45, -5.90, 4
-7.85, 2.94, -5.90, 4
-10.13, 1.14, -5.90, 8
-10.13, 0.65, -5.90, 8
-9.64, 0.65, -5.90, 8
-9.64, 1.14, -5.90, 8
-10.13, 2.94, -5.90, 12
-10.13, 2.45, -5.90, 12
-9.64, 2.45, -5.90, 12
-9.64, 2.94, -5.90, 12
