# FLASH Placa 3 duplicados
FLASH
# E (MeV), I (nA), t_rendija (ms), numSpots
3.00, 1.00, 0.750, 20
# X (cm), Y (cm), Z (cm), #shots
-1.22, -5.98, -6.00, 4
-1.22, -6.61, -6.00, 4
-0.58, -6.61, -6.00, 4
-0.58, -5.98, -6.00, 4
-3.01, -4.18, -6.00, 8
-3.01, -4.81, -6.00, 8
-2.38, -4.81, -6.00, 8
-2.38, -4.18, -6.00, 8
-3.01, -5.98, -6.00, 16
-3.01, -6.61, -6.00, 16
-2.38, -6.61, -6.00, 16
-2.38, -5.98, -6.00, 16
-4.81, -4.18, -6.00, 32
-4.81, -4.81, -6.00, 32
-4.18, -4.81, -6.00, 32
-4.18, -4.18, -6.00, 32
-4.81, -5.98, -6.00, 48
-4.81, -6.61, -6.00, 48
-4.18, -6.61, -6.00, 48
-4.18, -5.98, -6.00, 48
