# Plan de calibración
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 0.05, 1, 108
# X (cm), Y (cm), Z (cm), t(s)
-1.36, 0.43, -7.00, 0.027
-1.36, 0.90, -7.00, 0.027
-1.36, 1.36, -7.00, 0.027
-0.90, 1.36, -7.00, 0.027
-0.90, 0.90, -7.00, 0.024
-0.90, 0.43, -7.00, 0.027
-0.43, 0.43, -7.00, 0.027
-0.43, 0.90, -7.00, 0.027
-0.43, 1.36, -7.00, 0.027
-1.36, 3.13, -7.00, 0.134
-1.36, 3.60, -7.00, 0.134
-1.36, 4.06, -7.00, 0.134
-0.90, 4.06, -7.00, 0.134
-0.90, 3.60, -7.00, 0.121
-0.90, 3.13, -7.00, 0.134
-0.43, 3.13, -7.00, 0.134
-0.43, 3.60, -7.00, 0.134
-0.43, 4.06, -7.00, 0.134
-1.36, 5.83, -7.00, 0.241
-1.36, 6.29, -7.00, 0.241
-1.36, 6.76, -7.00, 0.241
-0.90, 6.76, -7.00, 0.241
-0.90, 6.29, -7.00, 0.217
-0.90, 5.83, -7.00, 0.241
-0.43, 5.83, -7.00, 0.241
-0.43, 6.29, -7.00, 0.241
-0.43, 6.76, -7.00, 0.241
-4.06, 0.43, -7.00, 0.054
-4.06, 0.90, -7.00, 0.054
-4.06, 1.36, -7.00, 0.054
-3.60, 1.36, -7.00, 0.054
-3.60, 0.90, -7.00, 0.048
-3.60, 0.43, -7.00, 0.054
-3.13, 0.43, -7.00, 0.054
-3.13, 0.90, -7.00, 0.054
-3.13, 1.36, -7.00, 0.054
-4.06, 3.13, -7.00, 0.161
-4.06, 3.60, -7.00, 0.161
-4.06, 4.06, -7.00, 0.161
-3.60, 4.06, -7.00, 0.161
-3.60, 3.60, -7.00, 0.145
-3.60, 3.13, -7.00, 0.161
-3.13, 3.13, -7.00, 0.161
-3.13, 3.60, -7.00, 0.161
-3.13, 4.06, -7.00, 0.161
-4.06, 5.83, -7.00, 0.268
-4.06, 6.29, -7.00, 0.268
-4.06, 6.76, -7.00, 0.268
-3.60, 6.76, -7.00, 0.268
-3.60, 6.29, -7.00, 0.241
-3.60, 5.83, -7.00, 0.268
-3.13, 5.83, -7.00, 0.268
-3.13, 6.29, -7.00, 0.268
-3.13, 6.76, -7.00, 0.268
-6.76, 0.43, -7.00, 0.080
-6.76, 0.90, -7.00, 0.080
-6.76, 1.36, -7.00, 0.080
-6.29, 1.36, -7.00, 0.080
-6.29, 0.90, -7.00, 0.072
-6.29, 0.43, -7.00, 0.080
-5.83, 0.43, -7.00, 0.080
-5.83, 0.90, -7.00, 0.080
-5.83, 1.36, -7.00, 0.080
-6.76, 3.13, -7.00, 0.188
-6.76, 3.60, -7.00, 0.188
-6.76, 4.06, -7.00, 0.188
-6.29, 4.06, -7.00, 0.188
-6.29, 3.60, -7.00, 0.169
-6.29, 3.13, -7.00, 0.188
-5.83, 3.13, -7.00, 0.188
-5.83, 3.60, -7.00, 0.188
-5.83, 4.06, -7.00, 0.188
-6.76, 5.83, -7.00, 0.295
-6.76, 6.29, -7.00, 0.295
-6.76, 6.76, -7.00, 0.295
-6.29, 6.76, -7.00, 0.295
-6.29, 6.29, -7.00, 0.265
-6.29, 5.83, -7.00, 0.295
-5.83, 5.83, -7.00, 0.295
-5.83, 6.29, -7.00, 0.295
-5.83, 6.76, -7.00, 0.295
-9.46, 0.43, -7.00, 0.107
-9.46, 0.90, -7.00, 0.107
-9.46, 1.36, -7.00, 0.107
-8.99, 1.36, -7.00, 0.107
-8.99, 0.90, -7.00, 0.096
-8.99, 0.43, -7.00, 0.107
-8.52, 0.43, -7.00, 0.107
-8.52, 0.90, -7.00, 0.107
-8.52, 1.36, -7.00, 0.107
-9.46, 3.13, -7.00, 0.214
-9.46, 3.60, -7.00, 0.214
-9.46, 4.06, -7.00, 0.214
-8.99, 4.06, -7.00, 0.214
-8.99, 3.60, -7.00, 0.193
-8.99, 3.13, -7.00, 0.214
-8.52, 3.13, -7.00, 0.214
-8.52, 3.60, -7.00, 0.214
-8.52, 4.06, -7.00, 0.214
-9.46, 5.83, -7.00, 0.321
-9.46, 6.29, -7.00, 0.321
-9.46, 6.76, -7.00, 0.321
-8.99, 6.76, -7.00, 0.321
-8.99, 6.29, -7.00, 0.289
-8.99, 5.83, -7.00, 0.321
-8.52, 5.83, -7.00, 0.321
-8.52, 6.29, -7.00, 0.321
-8.52, 6.76, -7.00, 0.321
