# Plan de calibración
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 0.05, 1, 54
# X (cm), Y (cm), Z (cm), t(s)
-6.76, -1.36, -5.60, 0.091
-6.76, -0.90, -5.60, 0.091
-6.76, -0.43, -5.60, 0.091
-6.29, -0.43, -5.60, 0.091
-6.29, -0.90, -5.60, 0.082
-6.29, -1.36, -5.60, 0.091
-5.83, -1.36, -5.60, 0.091
-5.83, -0.90, -5.60, 0.091
-5.83, -0.43, -5.60, 0.091
-6.76, -4.06, -5.60, 0.212
-6.76, -3.60, -5.60, 0.212
-6.76, -3.13, -5.60, 0.212
-6.29, -3.13, -5.60, 0.212
-6.29, -3.60, -5.60, 0.191
-6.29, -4.06, -5.60, 0.212
-5.83, -4.06, -5.60, 0.212
-5.83, -3.60, -5.60, 0.212
-5.83, -3.13, -5.60, 0.212
-6.76, -6.76, -5.60, 0.333
-6.76, -6.29, -5.60, 0.333
-6.76, -5.83, -5.60, 0.333
-6.29, -5.83, -5.60, 0.333
-6.29, -6.29, -5.60, 0.300
-6.29, -6.76, -5.60, 0.333
-5.83, -6.76, -5.60, 0.333
-5.83, -6.29, -5.60, 0.333
-5.83, -5.83, -5.60, 0.333
-9.46, -1.36, -5.60, 0.121
-9.46, -0.90, -5.60, 0.121
-9.46, -0.43, -5.60, 0.121
-8.99, -0.43, -5.60, 0.121
-8.99, -0.90, -5.60, 0.109
-8.99, -1.36, -5.60, 0.121
-8.52, -1.36, -5.60, 0.121
-8.52, -0.90, -5.60, 0.121
-8.52, -0.43, -5.60, 0.121
-9.46, -4.06, -5.60, 0.243
-9.46, -3.60, -5.60, 0.243
-9.46, -3.13, -5.60, 0.243
-8.99, -3.13, -5.60, 0.243
-8.99, -3.60, -5.60, 0.218
-8.99, -4.06, -5.60, 0.243
-8.52, -4.06, -5.60, 0.243
-8.52, -3.60, -5.60, 0.243
-8.52, -3.13, -5.60, 0.243
-9.46, -6.76, -5.60, 0.364
-9.46, -6.29, -5.60, 0.364
-9.46, -5.83, -5.60, 0.364
-8.99, -5.83, -5.60, 0.364
-8.99, -6.29, -5.60, 0.327
-8.99, -6.76, -5.60, 0.364
-8.52, -6.76, -5.60, 0.364
-8.52, -6.29, -5.60, 0.364
-8.52, -5.83, -5.60, 0.364
