# Plan de calibración
CONV
# E (MeV), I (nA), codFiltro, numSpots
3.00, 0.05, 1, 108
# X (cm), Y (cm), Z (cm), t(s)
-1.36, -1.36, -5.60, 0.300
-1.36, -0.90, -5.60, 0.300
-1.36, -0.43, -5.60, 0.300
-0.90, -0.43, -5.60, 0.300
-0.90, -0.90, -5.60, 0.270
-0.90, -1.36, -5.60, 0.300
-0.43, -1.36, -5.60, 0.300
-0.43, -0.90, -5.60, 0.300
-0.43, -0.43, -5.60, 0.300
-1.36, -4.06, -5.60, 1.520
-1.36, -3.60, -5.60, 1.520
-1.36, -3.13, -5.60, 1.520
-0.90, -3.13, -5.60, 1.520
-0.90, -3.60, -5.60, 1.360
-0.90, -4.06, -5.60, 1.520
-0.43, -4.06, -5.60, 1.520
-0.43, -3.60, -5.60, 1.520
-0.43, -3.13, -5.60, 1.520
-1.36, -6.76, -5.60, 2.730
-1.36, -6.29, -5.60, 2.730
-1.36, -5.83, -5.60, 2.730
-0.90, -5.83, -5.60, 2.730
-0.90, -6.29, -5.60, 2.460
-0.90, -6.76, -5.60, 2.730
-0.43, -6.76, -5.60, 2.730
-0.43, -6.29, -5.60, 2.730
-0.43, -5.83, -5.60, 2.730
-4.06, -1.36, -5.60, 0.610
-4.06, -0.90, -5.60, 0.610
-4.06, -0.43, -5.60, 0.610
-3.60, -0.43, -5.60, 0.610
-3.60, -0.90, -5.60, 0.550
-3.60, -1.36, -5.60, 0.610
-3.13, -1.36, -5.60, 0.610
-3.13, -0.90, -5.60, 0.610
-3.13, -0.43, -5.60, 0.610
-4.06, -4.06, -5.60, 1.820
-4.06, -3.60, -5.60, 1.820
-4.06, -3.13, -5.60, 1.820
-3.60, -3.13, -5.60, 1.820
-3.60, -3.60, -5.60, 1.640
-3.60, -4.06, -5.60, 1.820
-3.13, -4.06, -5.60, 1.820
-3.13, -3.60, -5.60, 1.820
-3.13, -3.13, -5.60, 1.820
-4.06, -6.76, -5.60, 3.030
-4.06, -6.29, -5.60, 3.030
-4.06, -5.83, -5.60, 3.030
-3.60, -5.83, -5.60, 3.030
-3.60, -6.29, -5.60, 2.730
-3.60, -6.76, -5.60, 3.030
-3.13, -6.76, -5.60, 3.030
-3.13, -6.29, -5.60, 3.030
-3.13, -5.83, -5.60, 3.030
-6.76, -1.36, -5.60, 0.910
-6.76, -0.90, -5.60, 0.910
-6.76, -0.43, -5.60, 0.910
-6.29, -0.43, -5.60, 0.910
-6.29, -0.90, -5.60, 0.820
-6.29, -1.36, -5.60, 0.910
-5.83, -1.36, -5.60, 0.910
-5.83, -0.90, -5.60, 0.910
-5.83, -0.43, -5.60, 0.910
-6.76, -4.06, -5.60, 2.120
-6.76, -3.60, -5.60, 2.120
-6.76, -3.13, -5.60, 2.120
-6.29, -3.13, -5.60, 2.120
-6.29, -3.60, -5.60, 1.910
-6.29, -4.06, -5.60, 2.120
-5.83, -4.06, -5.60, 2.120
-5.83, -3.60, -5.60, 2.120
-5.83, -3.13, -5.60, 2.120
-6.76, -6.76, -5.60, 3.330
-6.76, -6.29, -5.60, 3.330
-6.76, -5.83, -5.60, 3.330
-6.29, -5.83, -5.60, 3.330
-6.29, -6.29, -5.60, 3.000
-6.29, -6.76, -5.60, 3.330
-5.83, -6.76, -5.60, 3.330
-5.83, -6.29, -5.60, 3.330
-5.83, -5.83, -5.60, 3.330
-9.46, -1.36, -5.60, 1.210
-9.46, -0.90, -5.60, 1.210
-9.46, -0.43, -5.60, 1.210
-8.99, -0.43, -5.60, 1.210
-8.99, -0.90, -5.60, 1.090
-8.99, -1.36, -5.60, 1.210
-8.52, -1.36, -5.60, 1.210
-8.52, -0.90, -5.60, 1.210
-8.52, -0.43, -5.60, 1.210
-9.46, -4.06, -5.60, 2.430
-9.46, -3.60, -5.60, 2.430
-9.46, -3.13, -5.60, 2.430
-8.99, -3.13, -5.60, 2.430
-8.99, -3.60, -5.60, 2.180
-8.99, -4.06, -5.60, 2.430
-8.52, -4.06, -5.60, 2.430
-8.52, -3.60, -5.60, 2.430
-8.52, -3.13, -5.60, 2.430
-9.46, -6.76, -5.60, 3.640
-9.46, -6.29, -5.60, 3.640
-9.46, -5.83, -5.60, 3.640
-8.99, -5.83, -5.60, 3.640
-8.99, -6.29, -5.60, 3.270
-8.99, -6.76, -5.60, 3.640
-8.52, -6.76, -5.60, 3.640
-8.52, -6.29, -5.60, 3.640
-8.52, -5.83, -5.60, 3.640
